sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:16.875301,2024-07-15 17:16:16.878937,1721034976.875301,1721034976.878937,0.0,0.003636,0.003637,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,492697.282,587277.564,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009116331736246,0.0007272243499755,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1249.5,63068.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000777,0.000133,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:16.930069,2024-07-15 17:16:16.931663,1721034976.930069,1721034976.931663,0.054768,0.056362,0.001595,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,556716.559,667056.778,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0006711483001708,0.0007970333099365,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1230.0,63021.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000716,8.1e-05,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 17:16:16.956447,2024-07-15 17:16:16.960708,1721034976.956447,1721034976.960708,0.081146,0.085407,0.004262,2,3,112,138,58.0,58.0,54.0,40.0,56.0,46.0,210229.108,259032.294,32,18,18.0,18.0,14.0,0.0,16.0,6.0,0.0027267932891845,0.0021305084228515,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1258.0,63298.667,0.0,0.0,0.003,0.0,0.001,0.0,0.002051,8e-05,BENIGN
90:8d:6e:c9:9d:d8,ff:ff:ff:ff:ff:ff,90:8d:6e:c9:9d:d8,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-15 17:16:16.957384,2024-07-15 17:16:16.957384,1721034976.957384,1721034976.957384,0.082083,0.082083,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:16.982489,2024-07-15 17:16:16.986071,1721034976.982489,1721034976.986071,0.107188,0.11077,0.003583,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,500139.446,596148.357,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0008859634399414,0.0007164001464843,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1209.5,62973.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000726,0.000168,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:17.036474,2024-07-15 17:16:17.038267,1721034977.036474,1721034977.038267,0.161173,0.162966,0.001794,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,495008.741,593118.582,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007710456848144,0.0008964538574218,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1190.0,62926.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000734,0.000162,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 17:16:17.061287,2024-07-15 17:16:17.106831,1721034977.061287,1721034977.106831,0.185986,0.23153,0.045545,4,6,224,276,58.0,58.0,54.0,40.0,56.0,46.0,39345.575,48479.369,64,36,18.0,18.0,14.0,0.0,16.0,6.0,0.0147153536478678,0.009108829498291,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1231.0,63250.667,0.0,0.0,0.004,0.036,0.001,0.0,0.002342,0.007245,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:17.089312,2024-07-15 17:16:17.092939,1721034977.089312,1721034977.092939,0.214011,0.217638,0.003628,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,493960.094,588782.791,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009166399637858,0.0007253646850585,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1169.5,62878.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000806,9.4e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:16:17.143450,2024-07-15 17:16:17.145180,1721034977.14345,1721034977.14518,0.268149,0.269879,0.001731,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,513008.577,614685.953,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007450580596923,0.0008649826049804,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1150.0,62831.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000711,0.000154,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 17:16:17.165817,2024-07-15 17:16:17.211492,1721034977.165817,1721034977.211492,0.290516,0.336191,0.045676,4,6,224,276,58.0,58.0,54.0,40.0,56.0,46.0,39232.824,48340.444,64,36,18.0,18.0,14.0,0.0,16.0,6.0,0.0147469838460286,0.0091350078582763,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1195.0,63186.667,0.0,0.0,0.003,0.037,0.001,0.0,0.002079,0.007491,BENIGN
