sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:07.761384,2024-07-15 17:11:07.763110,1721034667.761384,1721034667.76311,0.0,0.001726,0.001727,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,514212.624,616128.64,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007429122924804,0.0008629560470581,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,990.0,63828.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000716,0.000147,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:07.813668,2024-07-15 17:11:07.817468,1721034667.813668,1721034667.817468,0.052284,0.056084,0.003801,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,471465.385,561969.9,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009703636169433,0.0007599830627441,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,969.5,63780.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000791,0.000156,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:07.868593,2024-07-15 17:11:07.870239,1721034667.868593,1721034667.870239,0.107209,0.108855,0.001647,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,539148.407,646006.649,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007359981536865,0.0008230209350585,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,950.0,63733.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000708,0.000115,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:07.920518,2024-07-15 17:11:07.924539,1721034667.920518,1721034667.924539,0.159134,0.163155,0.004022,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,445530.895,531056.915,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0010199546813964,0.0008042335510253,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,929.5,63685.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000841,0.000159,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:07.975113,2024-07-15 17:11:07.976854,1721034667.975113,1721034667.976854,0.213729,0.21547,0.001742,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,509708.897,610732.283,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007381439208984,0.0008705854415893,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,910.0,63638.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000723,0.000148,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:08.027975,2024-07-15 17:11:08.031479,1721034668.027975,1721034668.031479,0.266591,0.270095,0.003505,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,511298.872,609449.995,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0008646647135416,0.0007007598876953,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,889.5,63590.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000765,9.9e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:08.082961,2024-07-15 17:11:08.084691,1721034668.082961,1721034668.084691,0.321577,0.323307,0.001731,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,513008.577,614685.953,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007400512695312,0.0008649826049804,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,870.0,63543.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000709,0.000156,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:08.134949,2024-07-15 17:11:08.138549,1721034668.134949,1721034668.138549,0.373565,0.377165,0.003601,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,497622.887,593148.708,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0008759498596191,0.0007200241088867,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,849.5,63495.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000746,0.000143,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:08.189669,2024-07-15 17:11:08.191750,1721034668.189669,1721034668.19175,0.428285,0.430366,0.002082,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,426481.059,511008.836,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007081031799316,0.0010405778884887,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,830.0,63448.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000903,0.000138,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 17:11:08.242441,2024-07-15 17:11:08.246530,1721034668.242441,1721034668.24653,0.481057,0.485146,0.00409,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,438129.271,522234.443,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.001039981842041,0.0008178234100341,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,809.5,63400.167,0.0,0.0,0.002,0.0,0.001,0.0,0.00088,0.000131,BENIGN
