sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.046741,2024-07-15 14:49:13.050341,1721026153.046741,1721026153.050341,0.0,0.0036,0.003601,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,497655.835,593187.982,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.000857671101888,0.0007199764251708,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1195.5,62847.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000752,0.000145,BENIGN
90:8d:6e:c9:9d:d8,ff:ff:ff:ff:ff:ff,90:8d:6e:c9:9d:d8,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-15 14:49:13.057913,2024-07-15 14:49:13.057913,1721026153.057913,1721026153.057913,0.011172,0.011172,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.101083,2024-07-15 14:49:13.102832,1721026153.101083,1721026153.102832,0.054342,0.056091,0.00175,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,507417.351,607986.556,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007421970367431,0.0008745193481445,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1176.0,62800.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000724,0.00015,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 14:49:13.122421,2024-07-15 14:49:13.127964,1721026153.122421,1721026153.127964,0.07568,0.081223,0.005544,2,3,112,138,58.0,58.0,54.0,40.0,56.0,46.0,161616.35,199134.431,32,18,18.0,18.0,14.0,0.0,16.0,6.0,0.0041041374206542,0.0027714967727661,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1276.0,63328.667,0.0,0.0,0.004,0.0,0.001,0.0,0.00264,0.000131,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.153646,2024-07-15 14:49:13.157181,1721026153.153646,1721026153.157181,0.106905,0.11044,0.003536,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,506782.705,604066.885,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0008776982625325,0.0007070064544677,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1155.5,63977.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000799,8.2e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.208531,2024-07-15 14:49:13.210235,1721026153.208531,1721026153.210235,0.16179,0.163494,0.001705,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,520755.141,623967.871,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007350444793701,0.0008521080017089,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1136.0,64175.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000738,0.000114,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 14:49:13.228443,2024-07-15 14:49:13.232417,1721026153.228443,1721026153.232417,0.181702,0.185676,0.003975,2,3,112,138,58.0,58.0,54.0,40.0,56.0,46.0,225397.504,277721.925,32,18,18.0,18.0,14.0,0.0,16.0,6.0,0.002619981765747,0.0019870996475219,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1258.0,63296.667,0.0,0.0,0.003,0.0,0.001,0.0,0.0019,8.7e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.261017,2024-07-15 14:49:13.265309,1721026153.261017,1721026153.265309,0.214276,0.218568,0.004293,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,417422.618,497552.853,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0011180241902669,0.0008584022521972,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1115.5,64127.167,0.0,0.0,0.002,0.0,0.001,0.0,0.000944,0.00013,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 14:49:13.316680,2024-07-15 14:49:13.318266,1721026153.31668,1721026153.318266,0.269939,0.271525,0.001587,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,559560.281,670464.12,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0006749629974365,0.0007929801940917,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1096.0,64080.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000721,7.2e-05,BENIGN
192.168.8.150,192.168.8.4,b8:9b:e4:04:39:6c,6c:2b:59:e8:7e:b3,192.168.8.150,192.168.8.4,IPV4-TCP,2024-07-15 14:49:13.332813,2024-07-15 14:49:13.337216,1721026153.332813,1721026153.337216,0.286072,0.290475,0.004404,2,3,112,138,58.0,58.0,54.0,40.0,56.0,46.0,203457.141,250688.263,32,18,18.0,18.0,14.0,0.0,16.0,6.0,0.0026721954345703,0.0022014379501342,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1240.0,63264.667,0.0,0.0,0.003,0.0,0.002,0.0,0.002086,0.000116,BENIGN
