sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.096546,2024-07-15 16:40:43.100168,1721032843.096546,1721032843.100168,0.0,0.003622,0.003623,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,494610.204,589557.699,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.000899314880371,0.0007244110107421,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1329.5,63512.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000759,0.000145,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.150699,2024-07-15 16:40:43.152441,1721032843.150699,1721032843.152441,0.054153,0.055895,0.001743,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,509430.033,610398.147,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007550716400146,0.0008710622787475,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1310.0,63465.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000715,0.000156,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.203004,2024-07-15 16:40:43.219048,1721032843.203004,1721032843.219048,0.106458,0.122502,0.016045,5,7,264,307,59.0,54.0,40.0,40.0,52.8,43.857,131628.644,153068.158,64,27,19.0,14.0,0.0,0.0,12.8,3.857,0.0037845373153686,0.0026740233103434,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.286,0.0,0.0,0.0,0.0,1319.4,63501.857,0.0,0.0,0.002,0.0,0.001,0.0,0.000892,0.000142,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.258062,2024-07-15 16:40:43.259631,1721032843.258062,1721032843.259631,0.161516,0.163085,0.00157,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,565593.326,677692.905,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0006651878356933,0.0007845163345336,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1270.0,63370.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000721,6.3e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.310266,2024-07-15 16:40:43.314231,1721032843.310266,1721032843.314231,0.21372,0.217685,0.003966,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,451851.928,538591.361,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009936491648356,0.0007929801940917,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1249.5,63322.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000843,0.000132,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.364640,2024-07-15 16:40:43.366224,1721032843.36464,1721032843.366224,0.268094,0.269678,0.001585,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,560233.619,671270.912,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0006880760192871,0.0007920265197753,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1230.0,63275.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000708,8.4e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.416994,2024-07-15 16:40:43.421118,1721032843.416994,1721032843.421118,0.320448,0.324572,0.004125,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,434432.019,517827.451,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.001065969467163,0.0008247852325439,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1209.5,63227.167,0.0,0.0,0.002,0.0,0.001,0.0,0.000947,8.1e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.472114,2024-07-15 16:40:43.473689,1721032843.472114,1721032843.473689,0.375568,0.377143,0.001576,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,563454.232,675129.845,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0006558895111083,0.0007874965667724,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1190.0,63180.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000726,6.1e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.524212,2024-07-15 16:40:43.528035,1721032843.524212,1721032843.528035,0.427666,0.431489,0.003824,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,468614.11,558571.283,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009866555531819,0.0007646083831787,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1169.5,63132.167,0.0,0.0,0.002,0.0,0.001,0.0,0.000896,5.7e-05,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:40:43.579194,2024-07-15 16:40:43.580887,1721032843.579194,1721032843.580887,0.482648,0.484341,0.001694,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,524199.873,628095.343,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007350444793701,0.0008465051651,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1150.0,63085.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000714,0.000133,BENIGN
