sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.082682,2024-07-15 16:34:52.084505,1721032492.082682,1721032492.084505,0.0,0.001823,0.001824,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,486792.232,583273.575,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.000809907913208,0.0009115934371948,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1336.0,63225.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000763,0.000149,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.135810,2024-07-15 16:34:52.139539,1721032492.13581,1721032492.139539,0.053128,0.056857,0.00373,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,480415.431,572638.036,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009086926778157,0.0007458209991455,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1315.5,63177.167,0.0,0.0,0.001,0.0,0.001,0.0,0.0008,0.00012,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.190355,2024-07-15 16:34:52.192097,1721032492.190355,1721032492.192097,0.107673,0.109415,0.001743,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,509499.72,610481.647,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.000737190246582,0.000870943069458,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1296.0,63130.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000714,0.000157,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.242834,2024-07-15 16:34:52.246534,1721032492.242834,1721032492.246534,0.160152,0.163852,0.003701,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,484191.116,577138.517,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0009143352508544,0.0007400035858154,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1275.5,63082.167,0.0,0.0,0.001,0.0,0.001,0.0,0.00076,0.000148,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.297265,2024-07-15 16:34:52.299028,1721032492.297265,1721032492.299028,0.214583,0.216346,0.001764,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,503439.326,603220.093,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007328987121582,0.0008814334869384,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1256.0,63035.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000726,0.000155,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.349496,2024-07-15 16:34:52.353561,1721032492.349496,1721032492.353561,0.266814,0.270879,0.004066,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,440724.002,525327.27,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0010223388671875,0.0008130073547363,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1235.5,62987.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000854,0.000156,BENIGN
01:15:4e:00:01:00,b8:9b:e4:06:94:e9,01:15:4e:00:01:00,b8:9b:e4:06:94:e9,,,35067,2024-07-15 16:34:52.391802,2024-07-15 16:34:52.391802,1721032492.391802,1721032492.391802,0.30912,0.30912,1e-06,0,1,0,64,,64.0,,64.0,,64.0,0.0,512000000.0,0,60,,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.403865,2024-07-15 16:34:52.405617,1721032492.403865,1721032492.405617,0.321183,0.322935,0.001753,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,506589.162,606994.221,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007491111755371,0.0008759498596191,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1216.0,62940.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000719,0.000157,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.457126,2024-07-15 16:34:52.460650,1721032492.457126,1721032492.46065,0.374444,0.377968,0.003525,4,6,224,267,59.0,54.0,54.0,40.0,56.0,44.5,508359.418,605946.27,64,27,19.0,14.0,14.0,0.0,16.0,4.5,0.0008749961853027,0.00070481300354,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1195.5,62892.167,0.0,0.0,0.001,0.0,0.001,0.0,0.000725,0.000155,BENIGN
192.168.8.150,192.168.8.16,b8:9b:e4:04:39:6c,54:bf:64:9e:1c:a3,192.168.8.150,192.168.8.16,IPV4-TCP,2024-07-15 16:34:52.511153,2024-07-15 16:34:52.512851,1721032492.511153,1721032492.512851,0.428471,0.430169,0.001699,2,3,111,133,57.0,53.0,54.0,40.0,55.5,44.333,522655.122,626244.425,31,13,17.0,13.0,14.0,0.0,15.5,4.333,0.0007309913635253,0.0008490085601806,60.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1176.0,62845.0,0.0,0.0,0.001,0.0,0.001,0.0,0.000703,0.000146,BENIGN
