sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:01.710125,2024-07-10 14:31:01.710125,1720593061.710125,1720593061.710125,0.0,0.0,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,128.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1026.0,,0.0,,,,,,,BENIGN
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:02.819766,2024-07-10 14:31:02.857417,1720593062.819766,1720593062.857417,1.109641,1.147292,0.037652,3,3,681,156,297.0,52.0,91.0,52.0,227.0,52.0,144693.271,33145.595,561,36,257.0,12.0,51.0,12.0,187.0,12.0,0.0164340734481811,0.0152255296707153,64.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10000.0,1025.0,0.0,0.0,0.007,0.011,0.005,0.009,0.006096,0.009682,BENIGN
33:33:00:00:00:02,e8:eb:d3:a3:63:63,33:33:00:00:00:02,e8:eb:d3:a3:63:63,,,IPV6,2024-07-10 14:31:02.862526,2024-07-10 14:31:02.862526,1720593062.862526,1720593062.862526,1.152401,1.152401,1e-06,0,1,0,62,,62.0,,62.0,,62.0,0.0,496000000.0,0,58,,58.0,,58.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:02.912712,2024-07-10 14:31:02.912712,1720593062.912712,1720593062.912712,1.202587,1.202587,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,128.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1024.0,,0.0,,,,,,,BENIGN
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:04.007013,2024-07-10 14:31:04.045504,1720593064.007013,1720593064.045504,2.296888,2.335379,0.038492,3,3,681,156,297.0,52.0,91.0,52.0,227.0,52.0,141535.864,32422.313,561,36,257.0,12.0,51.0,12.0,187.0,12.0,0.0159595012664794,0.015375018119812,64.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10000.0,1023.0,0.0,0.0,0.008,0.009,0.007,0.008,0.007174,0.008485,BENIGN
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:04.100097,2024-07-10 14:31:04.100097,1720593064.100097,1720593064.100097,2.389972,2.389972,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,128.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1021.0,,0.0,,,,,,,BENIGN
01:80:c2:00:00:0e,68:dd:b7:61:00:22,01:80:c2:00:00:0e,68:dd:b7:61:00:22,,,35020,2024-07-10 14:31:04.405113,2024-07-10 14:31:04.405113,1720593064.405113,1720593064.405113,2.694988,2.694988,1e-06,0,1,0,258,,258.0,,258.0,,258.0,0.0,2064000000.0,0,254,,254.0,,254.0,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
00:00:54:34:4c:4f,ff:ff:ff:ff:ff:ff,00:00:54:34:4c:4f,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-10 14:31:04.934656,2024-07-10 14:31:04.934656,1720593064.934656,1720593064.934656,3.224531,3.224531,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
0.0.0.0,255.255.255.255,68:dd:b7:61:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,IPV4-UDP,2024-07-10 14:31:04.967376,2024-07-10 14:31:04.967376,1720593064.967376,1720593064.967376,3.257251,3.257251,1e-06,1,0,328,0,328.0,,328.0,,328.0,,2624000000.0,0.0,276,0,276.0,,276.0,,276.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,BENIGN
192.168.10.1,192.168.10.102,00:80:f4:27:57:70,54:b2:03:f6:c5:2a,192.168.10.1,192.168.10.102,IPV4-TCP,2024-07-10 14:31:05.194525,2024-07-10 14:31:05.232581,1720593065.194525,1720593065.232581,3.4844,3.522456,0.038057,3,3,681,156,297.0,52.0,91.0,52.0,227.0,52.0,143154.079,32793.005,561,36,257.0,12.0,51.0,12.0,187.0,12.0,0.0160189867019653,0.0153135061264038,64.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10000.0,1022.333,0.0,0.0,0.007,0.009,0.006,0.009,0.006715,0.008955,BENIGN
