sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,state
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:41.410791,2024-07-10 17:06:41.418946,1720602401.410791,1720602401.418946,0.0,0.008155,0.008156,5,5,355,985,71.0,265.0,71.0,121.0,71.0,197.0,348205.317,966147.148,155,785,31.0,225.0,31.0,81.0,31.0,157.0,0.0018985271453857,0.0018644928932189,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,63936.8,8192.0,0.0,0.0,0.002,0.001,0.001,0.001,0.001182,0.000685,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:41.460974,2024-07-10 17:06:41.460974,1720602401.460974,1720602401.460974,0.050183,0.050183,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,128.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,63455.0,,0.0,,,,,,,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:41.736297,2024-07-10 17:06:41.737643,1720602401.736297,1720602401.737643,0.325506,0.326852,0.001347,1,1,47,155,47.0,155.0,47.0,155.0,47.0,155.0,279115.765,920488.16,7,115,7.0,115.0,7.0,115.0,7.0,115.0,,,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,63386.0,8192.0,0.0,0.0,0.001,,0.001,,0.001346,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:41.848273,2024-07-10 17:06:41.848273,1720602401.848273,1720602401.848273,0.437482,0.437482,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,64.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8192.0,,0.0,,,,,,,BENIGN
ac:64:17:f4:b3:a8,ff:ff:ff:ff:ff:ff,ac:64:17:f4:b3:a8,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-10 17:06:42.046417,2024-07-10 17:06:42.046417,1720602402.046417,1720602402.046417,0.635626,0.635626,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
68:dd:b7:61:00:22,ff:ff:ff:ff:ff:ff,68:dd:b7:61:00:22,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-10 17:06:42.187493,2024-07-10 17:06:42.187493,1720602402.187493,1720602402.187493,0.776702,0.776702,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:42.602037,2024-07-10 17:06:42.651918,1720602402.602037,1720602402.651918,1.191246,1.241127,0.049882,7,6,442,1140,71.0,265.0,40.0,121.0,63.143,190.0,70887.32,182831.55,162,900,31.0,225.0,0.0,81.0,23.143,150.0,0.008313496907552,0.0065681934356689,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.857,1.0,0.0,0.0,0.0,0.0,63324.286,8192.0,0.0,0.0,0.042,0.001,0.001,0.001,0.007938,0.000718,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:42.748252,2024-07-10 17:06:42.748252,1720602402.748252,1720602402.748252,1.337461,1.337461,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,64.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8192.0,,0.0,,,,,,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:42.803103,2024-07-10 17:06:42.804182,1720602402.803103,1720602402.804182,1.392312,1.393391,0.00108,1,1,47,89,47.0,89.0,47.0,89.0,47.0,89.0,348121.559,659208.91,7,49,7.0,49.0,7.0,49.0,7.0,49.0,,,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,62819.0,8192.0,0.0,0.0,0.001,,0.001,,0.001079,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:42.903032,2024-07-10 17:06:42.948277,1720602402.903032,1720602402.948277,1.492241,1.537486,0.045246,1,2,47,129,47.0,89.0,47.0,40.0,47.0,64.5,8310.139,22808.68,7,49,7.0,49.0,7.0,0.0,7.0,24.5,,0.0452449321746826,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,63222.0,8192.0,0.0,0.0,0.001,,0.001,,0.001201,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:43.048278,2024-07-10 17:06:43.048278,1720602403.048278,1720602403.048278,1.637487,1.637487,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,64.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8192.0,,0.0,,,,,,,BENIGN
68:dd:b7:61:00:22,ff:ff:ff:ff:ff:ff,68:dd:b7:61:00:22,ff:ff:ff:ff:ff:ff,,,ARP,2024-07-10 17:06:43.194399,2024-07-10 17:06:43.194399,1720602403.194399,1720602403.194399,1.783608,1.783608,1e-06,1,0,60,0,60.0,,60.0,,60.0,,480000000.0,0.0,56,0,56.0,,56.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:43.536377,2024-07-10 17:06:43.537412,1720602403.536377,1720602403.537412,2.125586,2.126621,0.001036,1,1,47,155,47.0,155.0,47.0,155.0,47.0,155.0,362943.103,1196940.021,7,115,7.0,115.0,7.0,115.0,7.0,115.0,,,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,63107.0,8192.0,0.0,0.0,0.001,,0.001,,0.001035,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:43.648244,2024-07-10 17:06:43.648244,1720602403.648244,1720602403.648244,2.237453,2.237453,1e-06,0,1,0,40,,40.0,,40.0,,40.0,0.0,320000000.0,0,0,,0.0,,0.0,,0.0,,,,64.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8192.0,,0.0,,,,,,,BENIGN
192.168.10.100,192.168.10.11,70:b5:e8:70:3d:96,ac:64:17:f4:b3:a8,192.168.10.100,192.168.10.11,IPV4-TCP,2024-07-10 17:06:43.791374,2024-07-10 17:06:43.841174,1720602403.791374,1720602403.841174,2.380583,2.430383,0.049801,6,5,395,985,71.0,265.0,40.0,121.0,65.833,197.0,63452.644,158230.011,155,785,31.0,225.0,0.0,81.0,25.833,157.0,0.0099599838256835,0.001628041267395,128.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833,1.0,0.0,0.0,0.0,0.0,63856.5,8192.0,0.0,0.0,0.042,0.001,0.001,0.001,0.009201,0.000759,BENIGN
